b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
b,,,,,,,,,,,,,,,,,,,,,,,,,,,b
b,,,,,,,,,,,,,,,,,,,,,,,,,,,b
b,,,,,,,,,,,,,,,,,,,,,,,,,,,b
b,,,,,,,,,,,,,,,,,,,,,,,,,,,b
b,,,,,,,,,,,,,,,,,,,,,,,,,,,b
b,,,,,,,,,,,,,,,,,,,,,,,,,,,b
b,,,,,,,,,,,,,,,,,,,,,,,,,,,b
b,,,,,,,,,,,,,,,,,,,,,,,,,,,b
b,,,,,,,,,,,,,,,,,,,,,,,,,,,b
b,,,,,,,,,,,,,,,,,,,,,,,,,,P,b
b,,,,,,,,,,,,,,,,,,,,,,,,,,B,b
b,,,,,,,,,,,,,,,,,,,,,,,,I,B,,b
b,,,,,,,,,,,,,,,,,,,,,,,,B,,,b
b,,,,,,,,,,,,,,,,,,,,,,I,B,,,,b
b,,,,,,,,,,,,,,,I,I,I,,,,,B,,,,,b
b,,,,,,,,,,,,,,B,B,B,B,B,,,B,,,,,,b
b,,,,,,,,I,I,,,,,b,b,b,b,b,,,,,,,,,b
b,,,,,,,,B,B,,,,,b,b,b,b,b,,,,,,,,,b
b,,,,,,,,b,b,,,,,b,b,b,b,b,,,,,,,,,b
b,,,,,,,,b,b,,,,,b,b,b,b,b,,,,,,,,,b
b,B,B,B,B,B,B,B,b,b,B,B,B,B,b,b,b,b,b,B,B,B,B,B,B,B,B,b
