b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
b,,,,,,,,,,,,,,,,,,,,,,,,,b
b,,,,,,,,,,,,,,,,,,,,,,,,,b
b,,,,,,,,,,,,,,,,,,,,,,,,,b
b,,,,,,,,,,,,,,,,,,,,,,,,,b
b,,,,,,,,,,,,,,,,,,,,,,,,,b
b,,,,,,,,,,,,,,,,,,,,,,,,,b
b,,,,,,,,,,,,,,,,,,,,,,,,,b
b,,,,,,,,,,,,,,,,,,,,,,,,,b
b,,,,,,,,,,,,,,,,,,,,,,,,,b
b,,,,,,,,,,,,,,,,,,,,,,,,,b
b,,,,,,,,,,,,,,,,,,,,,,,,,b
b,,,,,,,,,,,,,,,,,,,,,,,,,b
b,,,,,,,,,,,,,,,,,,,,,,,,,b
b,1,1,1,,,,,,,,,2,2,,,,,,,,,1,1,1,b
b,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,b
b,,,,,,,,,,,,,,,,,,,,,,,,,b
b,,,,,,,,,,,,,,,,,,,,,,,,,b
b,,,,,,,,,,,,,,,,,,,,,,,,,b
b,,,,,,,,,,,,,,,,,,,,,,,,,b
b,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,b
b,,,,,,,,,,,,,,,,,,,,,,,,,b
b,,,,,,,,,,,,,,,,,,,,,,,,,b
b,,,,,,,,,,,2,,,2,,,,,,,,,,,b
b,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,b
b,,,,,,,,,1,b,b,b,b,b,b,1,,,,,,,,,b
b,,,,,,,,1,b,b,b,b,b,b,b,b,1,,,,,,,,b
b,,2,,,,,1,b,b,b,b,b,b,b,b,b,b,1,,,,,2,,b
b,1,1,1,1,1,1,b,b,b,b,b,b,b,b,b,b,b,b,1,1,1,1,1,1,b
